Question_ID,Split
Q164,test
Q199,test
Q226,train
Q006,test
Q230,train
Q207,train
Q358,train
Q370,test
Q120,train
Q269,train
Q270,train
Q103,train
Q347,train
Q113,train
Q023,test
Q025,train
Q367,train
Q376,train
Q378,test
Q019,test
Q234,train
Q232,train
Q229,train
Q222,train
Q021,train
Q223,train
Q274,train
Q040,test
Q027,train
Q078,test
Q086,train
Q359,test
Q215,train
Q384,train
Q092,train
Q368,train
Q284,train
Q377,train
Q130,train
Q129,train
Q029,train
Q336,train
Q084,train
Q134,train
Q192,train
Q369,train
Q257,train
Q292,train
Q256,test
Q252,train
Q366,train
Q211,train
Q038,train
Q045,train
Q015,train
Q315,train
Q213,train
Q196,train
Q228,train
Q062,train
Q251,test
Q362,test
Q037,train
Q085,test
Q242,train
Q061,train
Q233,train
Q135,train
Q016,test
Q123,train
Q258,train
Q024,train
Q205,train
Q244,train
Q020,train
Q090,train
Q039,train
Q043,test
Q059,train
Q287,train
Q122,train
Q033,train
Q183,train
Q042,train
Q136,train
Q137,train
Q072,train
Q267,train
Q220,train
Q273,train
Q342,train
Q008,train
Q052,train
Q355,train
Q163,train
Q017,train
Q382,train
Q381,train
Q193,train
Q050,train
Q141,train
Q150,train
Q389,train
Q189,train
Q186,train
Q217,train
Q077,test
Q283,train
Q209,test
Q210,train
Q333,train
Q202,train
Q363,train
Q168,test
Q167,train
Q176,train
Q147,train
Q175,train
Q177,train
Q179,train
Q151,train
Q065,train
Q032,test
Q178,train
Q063,train
Q002,train
Q182,test
Q153,test
Q064,train
Q159,train
Q030,train
Q165,train
Q157,train
Q385,train
Q296,train
Q351,test
Q156,test
Q053,train
Q187,train
Q191,train
Q295,train
Q243,train
Q344,train
Q173,train
Q346,train
Q152,train
Q069,train
Q318,train
Q081,train
Q080,train
Q097,train
Q357,train
Q326,train
Q082,train
Q201,train
Q356,train
Q289,train
Q102,train
Q240,train
Q070,train
Q111,test
Q112,train
Q131,train
Q119,train
Q107,train
Q162,train
Q108,train
Q110,train
Q275,train
Q171,train
Q048,train
Q060,train
Q054,train
Q003,train
Q146,train
Q339,train
Q106,train
Q132,train
Q004,test
Q049,train
Q158,train
Q170,train
Q386,test
Q387,train
Q388,test
Q166,test
Q109,test
Q005,train
Q144,train
Q172,train
Q338,test
Q319,test
Q311,train
Q312,train
Q294,train
Q329,train
Q314,train
Q327,train
Q303,test
Q328,train
Q309,train
Q241,train
Q286,train
Q250,train
Q096,train
Q307,train
Q302,train
Q301,train
Q297,test
Q160,train
Q105,test
Q104,train
Q195,train
Q056,test
Q055,train
Q325,train
Q323,train
Q324,test
Q320,train
Q321,test
Q322,train
Q148,train
Q142,test
Q010,test
Q298,train
Q299,train
Q308,train
Q313,train
Q300,test
Q306,train
Q304,train
Q305,train
Q001,test
Q089,train
Q088,train
Q095,test
Q268,train
Q198,train
Q087,train
Q279,train
Q361,train
Q221,train
Q373,train
Q365,train
Q291,train
Q277,train
Q278,train
Q218,train
Q100,train
Q066,train
Q041,train
Q121,train
Q227,train
Q206,train
Q261,train
Q332,train
Q034,test
Q236,train
Q212,train
Q331,train
Q133,train
Q197,train
Q128,train
Q079,test
Q124,train
Q216,train
Q047,test
Q231,train
Q280,train
Q118,train
Q073,test
Q350,test
Q374,train
Q271,train
Q014,train
Q012,train
Q246,train
Q083,test
Q288,train
Q203,train
Q337,test
Q237,train
Q071,train
Q051,train
Q091,test
Q249,train
Q281,test
Q013,train
Q058,test
Q140,test
Q126,train
Q138,train
Q022,train
Q254,train
Q204,test
Q371,train
Q341,train
Q345,train
Q380,train
Q075,train
Q354,train
Q259,test
Q340,test
Q330,test
Q155,train
Q007,train
Q161,train
Q335,train
Q343,train
Q188,train
Q317,train
Q310,train
Q098,train
Q099,train
Q101,train
Q316,train
Q028,train
Q239,train
Q074,test
Q264,train
Q035,train
Q247,train
Q263,train
Q360,train
Q235,train
Q225,train
Q076,train
Q364,train
Q116,train
Q219,test
Q117,test
Q214,train
Q272,test
Q224,train
Q260,train
Q265,train
Q067,train
Q262,train
Q238,test
Q026,test
Q266,test
Q094,test
Q093,train
Q253,train
Q248,train
Q255,train
Q011,train
Q285,test
Q383,train
Q057,test
Q018,train
Q139,train
Q125,train
Q293,train
Q127,test
Q372,train
Q115,test
Q185,train
Q276,train
Q031,test
Q348,train
Q009,train
Q169,test
Q194,train
Q046,test
Q190,train
Q149,test
Q352,train
Q068,train
Q353,train
Q349,train
Q154,test
Q114,test
Q180,train
Q145,train
Q174,test
Q181,test
Q184,train
Q036,train
Q200,train
Q334,train
Q208,train
Q245,train
Q379,train
Q282,train
Q290,train
Q044,train
Q143,train
Q375,train
